issue_url,format,repo,created_at,title,llm_category,llm_confidence,llm_reasoning,model
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Code Quality,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Community Engagement and Support,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Configuration,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Documentation,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Libraries,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Licensing,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Code Components,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/875,spdx,spdx/spdx-spec,2024-01-31 07:20:49+00:00,Correct way to represent repository location for a package in SBOM.,Technical Debt,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/873,spdx,spdx/spdx-spec,2024-01-09 20:51:30+00:00,"make it explicit that a license exception, alone, cannot be a valid license expression",Code Quality,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/873,spdx,spdx/spdx-spec,2024-01-09 20:51:30+00:00,"make it explicit that a license exception, alone, cannot be a valid license expression",Configuration,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/873,spdx,spdx/spdx-spec,2024-01-09 20:51:30+00:00,"make it explicit that a license exception, alone, cannot be a valid license expression",Documentation,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/873,spdx,spdx/spdx-spec,2024-01-09 20:51:30+00:00,"make it explicit that a license exception, alone, cannot be a valid license expression",Licensing,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/873,spdx,spdx/spdx-spec,2024-01-09 20:51:30+00:00,"make it explicit that a license exception, alone, cannot be a valid license expression",Code Components,medium,extracted from reasoning text,qwen/qwen3.6-flash
https://api.github.com/repos/spdx/spdx-spec/issues/872,spdx,spdx/spdx-spec,2023-12-13 04:51:29+00:00,SPDX documentation not in sync with schema,Documentation,medium,extracted from reasoning text,qwen/qwen3.6-flash
